phecode	phenotype	category	num_cases	num_controls	N	K	b_ivw	se_ivw	pval_ivw	robust_hit	mdor80_nominal	mdor80_bonf	power_or1p5_nominal	power_or2_nominal	power_or2_bonf
J10_BRONCHIOLITIS	Acute bronchiolitis	X Diseases of the respiratory system (J10_)	2818	471806	474624	0.00593733144552319	-0.636854358906776	0.227178703861728	0.0050579626241119	FALSE	1.84261439805448	2.97793603521011	0.459695159027856	0.888259272480974	0.162770584453697
F5_OCD	Obsessive-compulsive disorder	V Mental and behavioural disorders (F5_)	2813	444414	447227	0.00628987069206466	0.234065139083827	0.225726665184502	0.299763550398557	FALSE	1.8438151423013	2.98140169578916	0.458910358714598	0.887614639181883	0.161939590248394
MYELOPROF_NONCML	Myeloproliferative diseases (CML excluded)	Other, not yet classified endpoints (same as #MISC)	2791	497256	500047	0.00558147534131792	-0.130595430519843	0.222253912343354	0.556803736265577	FALSE	1.84785352850093	2.99307053849525	0.456288035670767	0.885440396436538	0.159181730310783
K11_CROSSBITE	Crossbite	XI Diseases of the digestive system (K11_)	2790	497558	500348	0.00557611902116127	0.24116222501914	0.224202027426672	0.282085185328754	FALSE	1.84805380313315	2.99364975018771	0.456158672057508	0.885332326318281	0.159046429443913
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2782	485458	488240	0.00569801736850729	-0.412001966735931	0.223583740510908	0.0653700745855981	FALSE	1.84975493170469	2.9985715501235	0.455062454685666	0.884413473363173	0.157902724621273
RHINITIS_VASOMOTOR	Vasomotor rhinitis (mode)	Comorbidities of Asthma	2781	492187	494968	0.00561854503725493	0.00817507754902562	0.282952276354022	0.976950668588772	FALSE	1.8499139961943	2.99903194619477	0.454960189480597	0.884327473374161	0.157796286928121
L12_FOLICULAROTH	Other follicular disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	2778	476404	479182	0.00579737970124087	-0.0342837920135351	0.223326199975689	0.877992619741522	FALSE	1.85063081236537	3.00110708385915	0.454499837947769	0.883939745570838	0.157317696843325
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	2776	497572	500348	0.00554813849560706	0.00442554622654719	0.462932743296191	0.992372496274928	FALSE	1.85089829167266	3.00188158137187	0.454328268269648	0.883794992993491	0.157139557507748
E4_GOITRENOD	Nontoxic single thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)	2775	424208	426983	0.00649908778569639	-0.0446100967201388	0.222801400819575	0.841305717188648	FALSE	1.85164908549312	3.00405600596396	0.453847294473273	0.883388475086176	0.156640825544518
K11_JAWS	Other diseases of jaws	XI Diseases of the digestive system (K11_)	2779	310260	313039	0.00887748810851044	0.530282719553311	0.223080683740278	0.0174498602429167	FALSE	1.85219482120684	3.00563698264248	0.453498247982254	0.883092794162643	0.15627950000348
D3_COAGOTHER	Other coagulation defects	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2769	492275	495044	0.00559344219907725	0.0021262750497995	0.223755031962567	0.992418063242018	FALSE	1.8523643310226	3.0061281209451	0.453389927716846	0.883000920638968	0.15616747313508
I9_LBBB	Left bundle-branch block	IX Diseases of the circulatory system (I9_)	2766	375343	378109	0.00731535086443327	0.297171811693454	0.290238352211972	0.305887778865176	FALSE	1.853974610003	3.01079550905119	0.452363198492138	0.882127390927732	0.155108055326551
K11_PANCOTH	Other diseases of pancreas	XI Diseases of the digestive system (K11_)	2762	437418	440180	0.00627470580217184	0.0310046886650856	0.244013927821767	0.898892005241014	FALSE	1.85420321478127	3.01145837741913	0.452217770589575	0.882003267954871	0.15495835486852
K11_DEPOSITS	Deposits [accretions] on teeth	XI Diseases of the digestive system (K11_)	2767	310260	313027	0.00883949307887179	0.246080320343113	0.223949976014706	0.271847350957446	FALSE	1.854647383032	3.01274648277091	0.451935447063518	0.88176202433834	0.154667990090521
H8_CHRON_SUPOTITIS	Chronic suppurative otitis media	VIII Diseases of the ear and mastoid process (H8_)	2748	465154	467902	0.00587302469320499	-0.26180970770305	0.224014082314143	0.242516516290881	FALSE	1.85688591778992	3.01924200919807	0.450517313213628	0.880544635277565	0.153214517730988
CHRONSMALL	Crohn's disease of small intestine	Gastrointestinal endpoints	2740	476577	479317	0.0057164673900571	0.383643298345641	0.232269311902539	0.0985921436935143	FALSE	1.85847246506492	3.02384939834988	0.449516981400086	0.87968026736569	0.152194324711161
CD2_INSITU_SKIN_EXALLC	Carcinoma in situ of skin (controls excluding all cancers)	II Neoplasms from hospital discharges (CD2_)	2742	377301	380043	0.00721497304252414	-0.053355846546554	0.23917833066585	0.823473424304268	FALSE	1.85892099957383	3.02515251871746	0.449234889910904	0.879435671604924	0.15190738940631
THYROIDITIS	Thyroiditis	Comorbidities of Gastrointestinal endpoints	2729	486722	489451	0.00557563474178212	0.107421511296078	0.225670458242099	0.634066885980499	FALSE	1.86071107182417	3.03035564757757	0.448112201981551	0.878458514220875	0.15076872178705
H7_HYPERMETRO	Hypermetropia	VII Diseases of the eye and adnexa (H7_)	2721	476776	479497	0.00567469660915501	0.450108904856573	0.508789021648482	0.376336208683688	FALSE	1.86246682160497	3.03546283339663	0.447015871220373	0.877498577189798	0.149661870387064
J10_PNEUMOTHORAX	Pneumothorax	X Diseases of the respiratory system (J10_)	2713	479655	482368	0.00562433660607669	0.49973909651705	0.225066679699325	0.0263913133913684	FALSE	1.86414468148404	3.04034698527858	0.445972625935231	0.876579853220091	0.148613274164888
J10_EMPHYSEMA	Emphysema	X Diseases of the respiratory system (J10_)	2711	409070	411781	0.00658359662053373	-0.242766988792475	0.226736076766129	0.284303010926693	FALSE	1.86513372690203	3.04322765675006	0.445359694574753	0.876037677677006	0.147999316759895
IPF	Idiopathic pulmonary fibrosis	Interstitial lung disease endpoints	2700	494583	497283	0.00542950392432478	0.189483881725974	0.228253433870624	0.406455730148524	FALSE	1.86682423772949	3.0481541790916	0.444315521178935	0.875109932640241	0.146957002380882
M13_PYOGARTH	Pyogenic arthritis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2695	315115	317810	0.00847990937981813	-0.34584791952621	0.345802858752007	0.317247450675805	FALSE	1.86969984437114	3.05654238477751	0.442549360340299	0.873528869780084	0.145204322346732
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics	V Mental and behavioural disorders (F5_)	2668	491508	494176	0.00539888622676941	0.269511381625508	0.230722466442847	0.242758618991568	FALSE	1.87378688447648	3.06848181267462	0.440060668868733	0.871275600346121	0.142756642745341
K11_OESULC	Ulcer of oesophagus	XI Diseases of the digestive system (K11_)	2667	423785	426452	0.00625392775740294	0.188043520509758	0.32142356261086	0.558525257120131	FALSE	1.87451380304059	3.07060749695707	0.439620658781832	0.870874106333953	0.142326559134647
