scenario	pph4_full	pph4_trunc	n_kept
distinct	4.69463930322965e-06	0.0913502088487957	15
distinct	2.04302727315622e-06	0.0352575476727059	15
distinct	0.058166545406603	0.830613823841318	15
distinct	0.00261794041878265	0.00559670914997293	17
distinct	0.00274471757926017	0.00274472913383687	23
distinct	0.00036427806929096	0.000881223725412366	22
distinct	9.01732657055531e-05	9.01741287131668e-05	23
distinct	0.00255441575749979	0.00255441599140356	23
distinct	0.0034059704530068	0.0559190628133964	11
distinct	0.00226278856483835	0.00321517488223689	15
distinct	0.000104172475789097	0.0424063892379907	15
distinct	5.74984669225346e-05	0.759328654016031	7
distinct	0.000324680915470155	0.00109750326645889	17
distinct	1.90579084273421e-08	1.90579084307434e-08	24
shared	0.987003103830334	0.987005928200251	11
shared	0.997294427245312	0.997294442368588	20
shared	0.984984804987176	0.984991783649195	14
shared	0.987084542886788	0.987089190249201	16
shared	0.995665373181702	0.995665376227513	23
shared	0.992971588806842	0.992971646467942	10
shared	0.989633643325734	0.989633843286819	23
shared	0.986108923752144	0.986162687970036	16
shared	0.993202034324111	0.993202747733101	8
shared	0.991090152653246	0.991090154349369	23
shared	0.99384233320022	0.993844175728146	8
shared	0.993280439435921	0.993282266095015	8
shared	0.989076600926346	0.989111175477368	8
shared	0.994932070339156	0.994932087892944	23
shared	0.99352576090569	0.993527377297638	11
shared	0.989967421449712	0.98996744540821	24
shared	0.998029295484749	0.998030160171667	8
shared	0.996667529729888	0.99666822351894	12
shared	0.990458029591655	0.990481130192382	9
shared	0.994337370781988	0.994423916610561	21
shared	0.957360093577317	0.957564434409832	28
shared	0.995075915341863	0.995078146791799	21
shared	0.990524513004045	0.990560942345432	16
shared	0.988137960208597	0.988138195229526	20
shared	0.986110686160061	0.98615117375961	11
shared	0.990757991373892	0.99075805992756	17
shared	0.987231462650248	0.98723154633289	25
shared	0.996596466273112	0.996596467883139	16
shared	0.996943276201345	0.996944261357946	8
shared	0.995629132585999	0.995629186181848	23
shared	0.995786937807652	0.995787015503712	17
shared	0.990584680418249	0.990588596029436	16
shared	0.969828758446266	0.970870240982478	17
shared	0.992676102506587	0.992676102506876	19
shared	0.994875338049384	0.99487820340035	12
shared	0.994983328971493	0.99516912691063	9
shared	0.998212625671494	0.998212626509557	25
shared	0.993949810882492	0.993962431918846	10
shared	0.995019092737409	0.995019109630843	17
shared	0.99777466593037	0.99777468970205	16
shared	0.988775673810934	0.988776128347187	18
shared	0.993557774672291	0.993557966059259	16
shared	0.993970585581659	0.993970642862248	23
shared	0.949408380814513		2
shared	0.996585615349106	0.996587724444172	8
shared	0.990916282673211	0.990916339684568	23
shared	0.995009406882578	0.995009913800052	15
shared	0.998117878883008	0.998118579436636	23
shared	0.991873814366032	0.991874036218878	17
shared	0.996131641259494	0.9961316898191	17
shared	0.993432807128215	0.993432822955624	23
shared	0.988420070612572	0.988426830534687	15
shared	0.992729710192644	0.992729820406124	16
shared	0.986722751182024	0.987469140298306	8
shared	0.990560201052316	0.990560351178596	14
shared	0.995819578245983	0.995819627250284	23
shared	0.991084813258694	0.9910853850233	8
shared	0.995752451341728	0.99575245172353	23
shared	0.998223456549905	0.998223460745412	18
shared	0.995799181535208	0.99580023057654	14
shared	0.994734572361659	0.994735642905379	8
shared	0.99576169657837	0.995761854909235	14
shared	0.99783189327267	0.997832852210416	8
shared	0.996293713708821	0.996293715037949	14
shared	0.996119821601826	0.996119881110044	11
shared	0.996294427138911	0.996327641197644	13
shared	0.994127730136349	0.994127730312715	21
shared	0.993512705949539	0.993512708066097	16
shared	0.991448763342137	0.991449226597213	16
shared	0.986811476170672	0.986811624941324	16
shared	0.997519730456951	0.997519732403099	16
shared	0.995447217857422	0.995447217893	25
shared	0.992521705475266	0.992522985243713	11
shared	0.987545914735122	0.98754686737875	18
shared	0.993893812115279	0.993893860402369	21
shared	0.989485654688088	0.989485727024791	23
shared	0.990937651594929	0.9910250503325	8
shared	0.963873921306855	0.963873921362699	25
shared	0.991054311454728	0.991091657532296	17
shared	0.997511846290805	0.997520791835331	8
shared	0.995142316503	0.99514246214577	10
shared	0.993361703353911	0.993361935160503	17
shared	0.996258247954479	0.996258617912484	12
shared	0.99777983495481	0.997779835023573	22
shared	0.997877522229432	0.997877642463964	17
shared	0.996888672443362	0.996903002070039	9
shared	0.966888675165146	0.969739727956063	8
shared	0.994163427423171	0.994163688966523	22
shared	0.994591401301407	0.994603975577012	15
shared	0.983876979029795	0.983991060462255	8
shared	0.99052080634436	0.990520806358542	26
shared	0.997076454222987	0.997076455447286	16
shared	0.987506046513488	0.987540703069061	8
shared	0.995193295619185	0.995207955301177	9
shared	0.997760927450109	0.997761242682895	11
shared	0.995010990936489	0.995028284775777	8
shared	0.998303221953243	0.998303302849054	18
shared	0.997922162697565	0.99792335537027	26
shared	0.989808428922891	0.989809037375564	23
shared	0.994143132523421	0.994143234120381	17
shared	0.989514520317064	0.989516819892031	9
shared	0.991288554065191	0.991288878143728	8
shared	0.993537061708947	0.99354328716165	8
shared	0.99500031796774	0.995338771589841	16
shared	0.993326597808183	0.993328392422797	20
shared	0.994511530630652	0.994511539558471	11
shared	0.994160380286231	0.994161401878309	10
shared	0.995099543125424	0.995099544187868	22
shared	0.995524339020074	0.995524346906682	16
shared	0.992883223218134	0.9928832250422	16
shared	0.99254636377026	0.992572405345612	9
shared	0.994553178915447	0.994564118243837	24
shared	0.992522036481903	0.992522039471801	23
shared	0.997287817225493	0.997288003493391	16
shared	0.991896886385496	0.991896886391627	27
shared	0.99704698006285	0.997050664786754	22
shared	0.997355404485731	0.997356159814149	11
shared	0.997632152062088	0.997632340832807	15
shared	0.993380326927989	0.993380336110547	12
shared	0.991500351922929	0.991500651772654	16
shared	0.992269122850275	0.992297694968068	9
shared	0.990847924387136	0.99084807472608	15
shared	0.99218765617463	0.992187790210019	14
shared	0.989754198151693	0.98975419817168	20
shared	0.99519998421499	0.995200118257589	11
shared	0.996057251312753	0.996057636406067	12
shared	0.963699907957079	0.964279217147673	18
shared	0.994575319444036	0.994575514710044	21
shared	0.992485698425749	0.992485698451284	42
shared	0.990598141183828	0.990598488521221	14
shared	0.984164407992325	0.984164408004136	19
shared	0.994041092170822	0.994041158457279	23
shared	0.996654251265502	0.99665425593638	14
shared	0.995260649286098	0.995261426884815	11
shared	0.986586446691671	0.986588821202814	12
shared	0.992190949089901	0.992203504554693	18
shared	0.994362520883278	0.994363279142195	11
shared	0.994585817161346	0.994587131070475	14
shared	0.990381638256426	0.990385949731496	17
shared	0.987745613695996	0.987801237909633	8
shared	0.978465439536071	0.978465440293717	21
shared	0.996759878018754	0.996759878544056	11
shared	0.988517601106356	0.988521200785069	14
shared	0.994782935291848	0.994786310461199	14
shared	0.994464405856389	0.994464406158634	23
shared	0.970700490184958	0.970855889288732	8
shared	0.9910444538446	0.991044550166156	23
shared	0.993531658971894	0.993532208473946	8
shared	0.992870183947406	0.992870183947477	20
shared	0.991291520850302	0.991345336603084	12
shared	0.995195278469192	0.995205199646222	16
shared	0.997370421913247	0.997370470153973	15
