phecode	panel	n_iv	phenotype	category	num_cases	num_controls	b_egger	b_ivw	b_weighted_median	b_weighted_mode	se_egger	se_ivw	se_weighted_median	se_weighted_mode	pval_egger	pval_ivw	pval_weighted_median	pval_weighted_mode	q_stat	q_pval	egger_intercept	egger_intercept_pval	sens_b_presso_corrected	sens_b_presso_raw	sens_se_presso_corrected	sens_se_presso_raw	sens_pval_presso_corrected	sens_pval_presso_raw	pgs_narrow_n_snps	pgs_narrow_b	pgs_narrow_se	pgs_narrow_pval	pgs_wide_n_snps	pgs_wide_b	pgs_wide_se	pgs_wide_pval	kim_n_iv	kim_b_ivw	kim_se_ivw	kim_pval_ivw	kim_concordant_ivw	best_pp_h4	n_coloc_tested	n_coloc_pph4_gt0p5	n_coloc_pph4_gt0p8	top_coloc_gene	top_coloc_tissue	robust_hit	coloc_strengthened	ivw_fdr_q_within_panel
F5_STIMUL	tier1_apoe_inclusive	6	Mental and behavioural disorders due to use of other stimulants, including caffeine	V Mental and behavioural disorders (F5_)	1077	491508	-0.163397280567276	-0.207692938616312	-0.249834208736603	-0.244734532652263	0.234309858987474	0.137190956350895	0.152030349187512	0.564707600183455	0.52398739518846	0.130052036568582	0.100317156850359	0.682796469469504	3.05038201155978	0.692218463845643	-0.0087246842287139	0.827053343505475							3	0.208437531041585	0.858924280886844	0.808258906457409	50	-0.107481323508423	0.836431607061422	0.897753428781466	4	-0.134909852065	0.097831443972713	0.167893837343053	TRUE							FALSE	FALSE	0.385987890429079
F5_STIMUL	tier1_apoe_narrow_excl	5	Mental and behavioural disorders due to use of other stimulants, including caffeine	V Mental and behavioural disorders (F5_)	1077	491508	-0.0320409855949801	-0.101059053806233	-0.11971940837774	-0.130253085773676	0.251668162233113	0.144849542974755	0.155162228358856	0.588222619990367	0.906745987765559	0.48537550463162	0.440365758103358	0.835598703823411	2.60494475242816	0.625947432882022	-0.0145847242980386	0.759437385126624							3	0.208437531041585	0.858924280886844	0.808258906457409	50	-0.107481323508423	0.836431607061422	0.897753428781466	3	-0.0621610534395425	0.107251509274746	0.562196476590294	TRUE							FALSE	FALSE	0.811882087449702
F5_STIMUL	tier1_apoe_wide_excl	3	Mental and behavioural disorders due to use of other stimulants, including caffeine	V Mental and behavioural disorders (F5_)	1077	491508	1.75017868358037	0.155231372964613	0.158304499257706	0.165601537031626	1.31962510527652	0.365936081700911	0.446941065613324	0.567116381496235	0.411289917936472	0.671417395898709	0.723192400828195	0.797785978069881	1.58250595089836	0.453276495003628	-0.158971446818164	0.427580768907882							3	0.208437531041585	0.858924280886844	0.808258906457409	50	-0.107481323508423	0.836431607061422	0.897753428781466					FALSE							FALSE	FALSE	0.998945149830335
F5_STIMUL	tier2_apoe_narrow_excl	13	Mental and behavioural disorders due to use of other stimulants, including caffeine	V Mental and behavioural disorders (F5_)	1077	491508	0.0231105426096872	0.00832532115300031	-0.00130685750110219	-0.0160957706849234	0.113821612006329	0.0853473756983743	0.0910940658767791	0.516032272287665	0.842809366376699	0.922292563349112	0.988553747749917	0.975629677460819	16.091874019355	0.187064214659548	-0.00573331734274706	0.838832540198592							3	0.208437531041585	0.858924280886844	0.808258906457409	50	-0.107481323508423	0.836431607061422	0.897753428781466	6	-0.040318206299602	0.129447242247295	0.755447610396753	FALSE							FALSE	FALSE	0.984637533558592
F5_STIMUL	tier2_apoe_wide_excl	11	Mental and behavioural disorders due to use of other stimulants, including caffeine	V Mental and behavioural disorders (F5_)	1077	491508	0.0408860111431743	0.0521775535876266	0.0232832017974117	0.0193512008087144	0.126565446683982	0.0999768302015403	0.100479956530299	0.921454887376786	0.754042220727657	0.601742424434477	0.816755602510282	0.98365822177129	14.3836074403948	0.156202061308049	0.00501303386103606	0.875971532346172							3	0.208437531041585	0.858924280886844	0.808258906457409	50	-0.107481323508423	0.836431607061422	0.897753428781466	4	1.22183391393267	0.966725825901477	0.206269953490543	TRUE							FALSE	FALSE	0.999127573443565
F5_STRESSOTH	tier1_apoe_inclusive	6	Other reaction to severe stress, and adjustment disorders	V Mental and behavioural disorders (F5_)	18806	444414	0.050028096437895	0.0192312725364974	0.0352161116730546	0.0339065943128549	0.0566766157072836	0.0331384532316795	0.0362701361551777	0.141350176798551	0.427257459869489	0.561691409132694	0.331578354448654	0.819949789599442	4.11479443806927	0.533009651067997	-0.00604888935772912	0.539666128077555							3	-0.16650273295738	0.206601458454555	0.420293205350406	50	-0.0684470545988706	0.189777476584693	0.718346106067028	4	0.0247357626142842	0.0249025714924642	0.320563027276616	TRUE							FALSE	FALSE	0.802606325348045
F5_STRESSOTH	tier1_apoe_narrow_excl	5	Other reaction to severe stress, and adjustment disorders	V Mental and behavioural disorders (F5_)	18806	444414	-0.0182297821152782	-0.00751606799512049	-0.00702364302601197	-0.00589060915212394	0.0615136297302933	0.035065087450559	0.0390033710528288	0.141776224497866	0.786291731146835	0.830277098362067	0.857091455015711	0.968849722798061	3.09846538408098	0.54148479993349	0.00225432006311155	0.845067191597772							3	-0.16650273295738	0.206601458454555	0.420293205350406	50	-0.0684470545988706	0.189777476584693	0.718346106067028	3	-0.000156957484816679	0.0324243246430703	0.996137669292323	TRUE							FALSE	FALSE	0.958239443852186
F5_STRESSOTH	tier1_apoe_wide_excl	3	Other reaction to severe stress, and adjustment disorders	V Mental and behavioural disorders (F5_)	18806	444414	-0.222494284758786	0.0648128140115852	0.0224312081207069	0.0101578818466077	0.317556054913311	0.0881946938986509	0.104198616678164	0.133675196482495	0.610923975938149	0.46241052620181	0.829554035238645	0.946344865610076	1.06053589891815	0.588447274423244	0.0287133936077143	0.519076731870236							3	-0.16650273295738	0.206601458454555	0.420293205350406	50	-0.0684470545988706	0.189777476584693	0.718346106067028					FALSE							FALSE	FALSE	0.998945149830335
F5_STRESSOTH	tier2_apoe_narrow_excl	13	Other reaction to severe stress, and adjustment disorders	V Mental and behavioural disorders (F5_)	18806	444414	0.00717559801510045	-0.0110275839671942	-0.00292730671672761	-0.00147120085018659	0.0232781344706009	0.0186461744332605	0.0210995202970412	0.112234866520179	0.763647240388027	0.554243947379636	0.889657133760337	0.989756854406583	13.2674387730737	0.349905537173948	-0.00708879298555568	0.235233317629005							3	-0.16650273295738	0.206601458454555	0.420293205350406	50	-0.0684470545988706	0.189777476584693	0.718346106067028	6	0.00108455104339676	0.0258002412826745	0.966469625725637	FALSE							FALSE	FALSE	0.926959601644126
F5_STRESSOTH	tier2_apoe_wide_excl	11	Other reaction to severe stress, and adjustment disorders	V Mental and behavioural disorders (F5_)	18806	444414	0.00415385438631114	-0.0082646088253067	-0.00060309890856811	-0.000627282381367333	0.0267031921774473	0.021874719252953	0.0229744213053552	0.187202555178114	0.879815677828603	0.705567630083456	0.979057228899088	0.997392339746212	11.9398945608327	0.289099283510256	-0.00554628873192593	0.423957372309668							3	-0.16650273295738	0.206601458454555	0.420293205350406	50	-0.0684470545988706	0.189777476584693	0.718346106067028	4	0.0975139901264126	0.200747264665771	0.627140873980031	FALSE							FALSE	FALSE	0.999127573443565
